"Time","Username","Entry"
2021-05-08 13:58:33,"npcc","Logged In"
2021-05-07 11:30:36,"admin","Logged In"
2021-05-07 09:42:33,"npcc","Downloaded Performance Data"
2021-05-07 09:41:34,"npcc","Logged In"
2021-05-07 09:13:23,"npcc","Uploaded New Data"
2021-05-07 09:12:32,"npcc","Uploaded New Data"
2021-05-07 09:10:00,"npcc","Logged In"
2021-05-06 10:08:52,"admin","Downloaded Performance Data"
2021-05-06 10:07:57,"admin","Logged In"
2021-05-06 10:05:10,"npcc","Logged In"
2021-05-06 09:23:41,"npcc","Logged In"
2021-05-06 09:20:12,"npcc","Uploaded New Data"
2021-05-06 09:17:57,"npcc","Logged In"
2021-05-05 20:45:03,"admin","Logged In"
2021-05-05 10:34:00,"admin","Logged In"
2021-05-05 10:10:42,"npcc","Downloaded DISCOs Forecast"
2021-05-05 10:10:10,"npcc","Downloaded DISCOs Forecast"
2021-05-05 10:09:12,"npcc","Downloaded Forecast"
2021-05-05 10:08:29,"npcc","Downloaded Forecast"
2021-05-05 10:07:34,"npcc","Logged In"
2021-05-05 09:15:31,"npcc","Uploaded New Data"
2021-05-05 09:10:53,"npcc","Logged In"
2021-05-04 17:03:49,"admin","Logged In"
2021-05-04 10:28:23,"npcc","Downloaded Performance Data"
2021-05-04 10:27:39,"npcc","Logged In"
2021-05-04 10:19:29,"npcc","Downloaded DISCOs Forecast"
2021-05-04 10:18:51,"npcc","Downloaded DISCOs Forecast"
2021-05-04 10:18:22,"npcc","Downloaded Forecast"
2021-05-04 10:18:02,"npcc","Downloaded Forecast"
2021-05-04 10:17:44,"npcc","Downloaded Forecast"
2021-05-04 10:17:01,"npcc","Logged In"
2021-05-04 09:11:44,"npcc","Uploaded New Data"
2021-05-04 09:10:55,"npcc","Logged In"
2021-05-04 09:05:38,"npcc","Logged In"
2021-05-03 13:14:31,"admin","Logged In"
2021-05-03 11:13:02,"pitc","Logged In"
2021-05-03 10:38:09,"admin","Logged In"
2021-05-03 10:31:54,"pitc","Logged In"
2021-05-03 10:27:00,"npcc","Downloaded DISCOs Forecast"
2021-05-03 10:25:48,"npcc","Downloaded DISCOs Forecast"
2021-05-03 10:25:26,"npcc","Downloaded Forecast"
2021-05-03 10:24:32,"npcc","Downloaded Forecast"
2021-05-03 10:23:28,"npcc","Logged In"
2021-05-03 09:54:24,"npcc","Uploaded New Data"
2021-05-03 09:50:15,"npcc","Uploaded New Data"
2021-05-03 09:49:57,"npcc","Uploaded New Data"
2021-05-03 09:44:05,"npcc","Logged In"
2021-05-03 09:10:32,"admin","Logged In"
2021-05-02 15:15:08,"admin","Logged In"
2021-05-02 13:45:26,"pitc","Logged In"
2021-05-02 11:37:26,"npcc","Downloaded DISCOs Forecast"
2021-05-02 11:36:43,"npcc","Downloaded DISCOs Forecast"
2021-05-02 11:36:07,"npcc","Downloaded Forecast"
2021-05-02 11:35:29,"npcc","Downloaded Forecast"
2021-05-02 11:31:23,"npcc","Uploaded New Data"
2021-05-02 11:18:02,"npcc","Logged In"
2021-05-01 21:00:30,"pitc","Logged In"
2021-05-01 20:57:01,"pitc","Logged In"
2021-05-01 12:02:47,"admin","Logged In"
2021-04-30 09:29:39,"npcc","Uploaded New Data"
2021-04-30 09:24:10,"npcc","Logged In"
2021-04-29 10:31:03,"npcc","Downloaded Performance Data"
2021-04-29 10:28:01,"npcc","Downloaded DISCOs Forecast"
2021-04-29 10:27:39,"npcc","Downloaded DISCOs Forecast"
2021-04-29 10:27:08,"npcc","Downloaded Forecast"
2021-04-29 10:23:29,"npcc","Downloaded Forecast"
2021-04-29 10:19:45,"npcc","Uploaded New Data"
2021-04-29 10:18:17,"npcc","Uploaded New Data"
2021-04-29 10:18:04,"npcc","Uploaded New Data"
2021-04-29 10:16:55,"npcc","Uploaded New Data"
2021-04-29 10:12:39,"npcc","Logged In"
2021-04-29 09:53:58,"npcc","Logged In"
2021-04-29 09:33:20,"npcc","Downloaded DISCOs Forecast"
2021-04-29 09:32:19,"npcc","Downloaded Forecast"
2021-04-29 09:28:14,"npcc","Logged In"
2021-04-28 10:20:24,"npcc","Downloaded DISCOs Forecast"
2021-04-28 10:19:50,"npcc","Downloaded DISCOs Forecast"
2021-04-28 10:19:27,"npcc","Downloaded Forecast"
2021-04-28 10:18:41,"npcc","Downloaded Forecast"
2021-04-28 10:17:57,"npcc","Logged In"
2021-04-28 09:29:24,"npcc","Downloaded Performance Data"
2021-04-28 09:27:18,"npcc","Uploaded New Data"
2021-04-28 09:17:35,"npcc","Logged In"
2021-04-27 13:22:17,"npcc","Logged In"
2021-04-27 12:54:01,"admin","Logged In"
2021-04-27 10:46:56,"npcc","Downloaded DISCOs Forecast"
2021-04-27 10:45:32,"npcc","Downloaded DISCOs Forecast"
2021-04-27 10:44:38,"npcc","Downloaded DISCOs Forecast"
2021-04-27 10:43:15,"npcc","Downloaded Forecast"
2021-04-27 10:42:27,"npcc","Downloaded Forecast"
2021-04-27 10:41:18,"npcc","Uploaded New Data"
2021-04-27 10:39:55,"npcc","Logged In"
2021-04-27 10:35:46,"npcc","Logged In"
2021-04-27 10:28:28,"npcc","Logged In"
2021-04-27 02:01:00,"npcc","Tried to log In with password ohmslaw"
2021-04-27 02:00:23,"npcc ","Tried to log In with password ohmslaw1234"
2021-04-26 14:57:42,"cppa","Logged In"
2021-04-26 14:17:52,"cppa","Logged In"
2021-04-26 14:08:05,"cppa","Logged In"
2021-04-26 11:25:38,"npcc","Downloaded Performance Data"
2021-04-26 11:25:22,"admin","Logged In"
2021-04-26 11:25:01,"npcc","Logged In"
2021-04-26 10:59:16,"npcc","Logged In"
2021-04-26 10:51:04,"npcc","Downloaded DISCOs Forecast"
2021-04-26 10:50:40,"npcc","Downloaded DISCOs Forecast"
2021-04-26 10:50:15,"npcc","Downloaded Forecast"
2021-04-26 10:41:43,"npcc","Downloaded Forecast"
2021-04-26 10:38:00,"npcc","Uploaded New Data"
2021-04-26 10:33:10,"npcc","Logged In"
2021-04-25 21:30:08,"npcc","Downloaded DISCOs Forecast"
2021-04-25 21:30:06,"npcc","Downloaded DISCOs Forecast"
2021-04-25 21:24:59,"npcc","Downloaded DISCOs Forecast"
2021-04-25 21:24:41,"npcc","Downloaded DISCOs Forecast"
2021-04-25 21:23:20,"npcc","Downloaded Forecast"
2021-04-25 21:22:53,"npcc","Downloaded Forecast"
2021-04-25 21:22:33,"npcc","Downloaded Forecast"
2021-04-25 21:18:55,"npcc","Uploaded New Data"
2021-04-25 21:18:30,"npcc","Uploaded New Data"
2021-04-25 21:08:47,"npcc","Logged In"
2021-04-24 11:11:33,"npcc","Downloaded DISCOs Forecast"
2021-04-24 11:11:23,"npcc","Downloaded DISCOs Forecast"
2021-04-24 11:11:10,"npcc","Downloaded Forecast"
2021-04-24 11:10:34,"npcc","Downloaded Forecast"
2021-04-24 11:09:48,"npcc","Uploaded New Data"
2021-04-24 11:02:29,"npcc","Logged In"
2021-04-24 11:00:04,"npcc","Logged In"
2021-04-24 10:56:14,"npcc","Logged In"
2021-04-23 12:38:24,"admin","Logged In"
2021-04-23 11:48:16,"admin","Logged In"
2021-04-23 10:31:10,"npcc","Downloaded DISCOs Forecast"
2021-04-23 10:30:46,"npcc","Downloaded DISCOs Forecast"
2021-04-23 10:30:06,"npcc","Downloaded Forecast"
2021-04-23 10:29:39,"npcc","Downloaded Forecast"
2021-04-23 10:28:46,"npcc","Uploaded New Data"
2021-04-23 10:23:40,"npcc","Logged In"
2021-04-23 10:23:02,"npcc","Tried to log In with password ohmslaw"
2021-04-23 10:22:56,"npcc","Tried to log In with password ohmslaw"
2021-04-23 10:22:28,"npcc","Tried to log In with password ohmaslaw"
2021-04-22 12:09:46,"cppa","Downloaded Performance Data"
2021-04-22 12:08:19,"cppa","Logged In"
2021-04-22 11:30:51,"admin","Logged In"
2021-04-22 11:25:39,"npcc","Downloaded Performance Data"
2021-04-22 11:25:08,"npcc","Logged In"
2021-04-22 10:49:40,"npcc","Downloaded Performance Data"
2021-04-22 10:49:08,"npcc","Logged In"
